igdb_id,category_id,game_name,genre_id
103408,508652,One Hand Clapping,15
103408,508652,One Hand Clapping,31
103408,508652,One Hand Clapping,32
114058,512303,Totally Reliable Delivery Service,10
114058,512303,Totally Reliable Delivery Service,13
114058,512303,Totally Reliable Delivery Service,31
114058,512303,Totally Reliable Delivery Service,32
114437,511305,Barn Finders,13
114437,511305,Barn Finders,31
114437,511305,Barn Finders,32
115976,512571,Letters: A Written Adventure,8
115976,512571,Letters: A Written Adventure,9
115976,512571,Letters: A Written Adventure,31
115976,512571,Letters: A Written Adventure,32
115976,512571,Letters: A Written Adventure,34
116117,1100953916,Russia Roguelike,12
116117,1100953916,Russia Roguelike,13
116117,1100953916,Russia Roguelike,32
116191,2000211115,Sniper Elite V2 Remastered,5
116191,2000211115,Sniper Elite V2 Remastered,15
116191,2000211115,Sniper Elite V2 Remastered,24
116191,2000211115,Sniper Elite V2 Remastered,31
117659,2097006929,Hatsune Miku: Project Diva Future Tone DX,7
117988,516846,Gnosia,12
117988,516846,Gnosia,31
117988,516846,Gnosia,32
117988,516846,Gnosia,34
121403,517835,Davigo,4
121403,517835,Davigo,32
128069,1805135588,Pokémon Mystery Dungeon: Rescue Team DX,12
128069,1805135588,Pokémon Mystery Dungeon: Rescue Team DX,31
130243,1359577268,Retrowave,10
130243,1359577268,Retrowave,13
130243,1359577268,Retrowave,32
132565,1192443145,"Haiku, the Robot",8
132565,1192443145,"Haiku, the Robot",31
132565,1192443145,"Haiku, the Robot",32
132969,293599682,Infliction: Extended Cut,9
132969,293599682,Infliction: Extended Cut,31
137328,249172328,Warhammer Age of Sigmar: Storm Ground,12
137328,249172328,Warhammer Age of Sigmar: Storm Ground,15
137328,249172328,Warhammer Age of Sigmar: Storm Ground,16
137328,249172328,Warhammer Age of Sigmar: Storm Ground,31
143577,676925111,Bravery and Greed,8
143577,676925111,Bravery and Greed,12
143577,676925111,Bravery and Greed,15
143577,676925111,Bravery and Greed,25
143577,676925111,Bravery and Greed,31
143577,676925111,Bravery and Greed,32
144540,1089241698,Dragon Quest V: Tenkuu no Hanayome,12
144540,1089241698,Dragon Quest V: Tenkuu no Hanayome,31
145148,459138204,Lost Eidolons,12
145148,459138204,Lost Eidolons,13
145148,459138204,Lost Eidolons,15
145148,459138204,Lost Eidolons,16
145148,459138204,Lost Eidolons,24
145148,459138204,Lost Eidolons,32
159020,815750723,Tower of Balloons: Otterrific Arcade,33
168669,1573450322,Uncharted: The Lost Legacy - Remastered,5
168669,1573450322,Uncharted: The Lost Legacy - Remastered,31
173302,1667075784,Force Reboot,5
173302,1667075784,Force Reboot,32
173302,1667075784,Force Reboot,33
178136,1021909937,Hatsune Miku: Project Diva Arcade Future Tone,7
199925,884809056,Warcraft Rumble,15
201065,1176925991,Witch on the Holy Night,31
201065,1176925991,Witch on the Holy Night,34
240514,1665995618,Sticky Business,2
240514,1665995618,Sticky Business,9
240514,1665995618,Sticky Business,13
240514,1665995618,Sticky Business,32
247839,1685241024,Starri,7
247839,1685241024,Starri,14
247839,1685241024,Starri,32
247976,214624087,Brain Show,9
247976,214624087,Brain Show,26
247976,214624087,Brain Show,32
248115,1827452734,The Idolmaster: Shiny Colors - Song for Prism,7
248115,1827452734,The Idolmaster: Shiny Colors - Song for Prism,13
248580,688860744,What the Car?,8
248580,688860744,What the Car?,10
248580,688860744,What the Car?,31
248580,688860744,What the Car?,32
253141,352915626,Ratchet & Clank,5
253141,352915626,Ratchet & Clank,8
253141,352915626,Ratchet & Clank,31
254341,1015973760,WarioWare: Move It!,33
261694,2093534795,Dead Wells: The Devil Fragment,12
262261,1682928955,The Walking Dead: Destinies,5
262261,1682928955,The Walking Dead: Destinies,31
273456,88617210,Midnight Ramen,12
