user_id,login_name,user_name,broadcaster_type
474220184,theslooh,theslooh,normal
426313398,awdqqd,awdqqd,normal
223774486,guarantee_jp,ぎあらさん,affiliate
90687259,jakkal_l,jakkal_l,partner
412141375,aventura96,aventura96,affiliate
552420965,nexy5252,nexy5252,affiliate
772114102,temqrr,Temqrr,normal
627574468,fostring,FoString,affiliate
403211977,ultinatlive,UltiNatLIVE,normal
274728653,slickdawg2320,slickdawg2320,affiliate
92260056,ymaplefourbe,YmapLeFourbe,affiliate
814499572,wynot120912,wynot120912,normal
128485156,rllysololeveling,rllysololeveling,normal
1301857877,metano1l,metano1l,normal
1398490737,mirailofi,MiraiLofi,affiliate
855197327,primafmnijmegen1,primafmnijmegen1,normal
184534700,kiwidocin,KIWIDocin,affiliate
527370083,jcfenixx,JCFENIXX,affiliate
804210542,elanderac,ELanderac,normal
638748545,s1nre_,s1nre_,normal
1070597723,bushyytushyy,bushyytushyy,affiliate
112150127,aimless_nameless,Aimless_Nameless,normal
165070475,marinhho1,marinhho1,affiliate
424593037,94_bro,94_bro,affiliate
1063307047,xmgxbxym,xMGxBxym,affiliate
222758746,hags159,hags159,affiliate
92948326,zselee,Zselee,affiliate
493766504,kamito_kr,kamito_kr,affiliate
606651967,imritaplay,ImRitaPlay,affiliate
534709955,dj_sam_white,dj_sam_white,affiliate
271845131,cauevinnic,cauevinnic,normal
136103738,elsmarr,elsmarr,affiliate
453461827,sainjimmy,SainJimmy,affiliate
906954572,kmarinkovv,kmarinkovv,normal
58378086,therealnilbeast,therealnilbeast,affiliate
489981803,i_saturn,I_Saturn,affiliate
938264177,hikikomori1945,Hikikomori1945,affiliate
192300672,vosyli,vosyli,affiliate
252790403,kibunse,kibunse,normal
83150607,adrhalbi,ADRhalbi,affiliate
176195357,forkuru,forkuru,affiliate
461047654,bananavekma,BananaVekma,normal
705496965,amnesyas1,amnesyas1,affiliate
177047114,soufellas,soufellas,affiliate
732972739,marie_fis,marie_fis,normal
193939160,rexpeitaovovo,REXPEITAOVOVO,affiliate
434849571,ych8,ych8,normal
490653281,wavepotter,WavePotter,affiliate
1248921293,spacefmibiuna,spacefmibiuna,normal
996984531,jevucpv,jevucpv,affiliate
1079101210,twitchmlplive,twitchmlplive,normal
51037990,anaverageapple,AnAverageApple,normal
1017579322,st4rc0_,st4rc0_,affiliate
1406519174,kavalry01,kavalry01,normal
262047366,riich_t,riich_t,affiliate
835372719,kzongbbx,kzongbbx,normal
645875375,spottedpeccary,SpottedPeccary,normal
1295124164,focheur_stl,focheur_stl,normal
680511216,gamesbroug,GamesbrouG,affiliate
172771086,tiffany,Tiffany,partner
238044944,frosti_ow,frosti_ow,affiliate
529925930,vego001,vego001,normal
682067536,rbs_doktordisco,RBS_DoktorDisco,normal
185648905,praetorians_tv,PraetorianS_TV,affiliate
211027770,jt_scorpion,JT_Scorpion,affiliate
39438150,amadi198972,Amadi198972,normal
1027557235,batemanl9,BatemanL9,affiliate
1040762754,pkm_18,pkm_18,normal
820692874,byjordie,byJordie,affiliate
66586597,kundezera,Kundezera,affiliate
71174132,panchinko,PanchinKO,affiliate
473385149,el_wako,el_wako,affiliate
49793214,crowshady,CrowShady,affiliate
211159265,michael_blayze,michael_blayze,affiliate
267159435,grendosama,GrendoSama,normal
105514930,senkaikev,SenkaiKev,affiliate
1383385010,ratkingnate,ratkingnate,normal
779323380,frankvaljd,frankvaljd,normal
683051020,paulyhgaming,paulyhgaming,affiliate
449661019,cherritaxo,CherritaXO,affiliate
250874011,reitoexe03,reitoexe03,normal
595839209,astrayhito,AstrayHito,affiliate
716785645,medicentataoficial,medicentataoficial,affiliate
512067546,nuggxito,Nuggxito,affiliate
