stream_id,day_date_id,time_of_day_id,user_id,category_id,language_id,viewer_count,hours_watched
315859756262,20251230,1215,1250498739,26936,en,6,1.5
315861303654,20251230,1215,1374062912,515025,en,6,1.5
315564090467,20251230,1215,614917311,515025,en,6,1.5
315017086677,20251230,1215,100813689,515025,ru,6,1.5
315017928917,20251230,1215,30423097,26936,en,6,1.5
316493638108,20251230,1215,539977101,515025,en,6,1.5
316777518553,20251230,1215,1068531237,515025,en,6,1.5
315080376915,20251230,1215,439014832,26936,en,6,1.5
316494564444,20251230,1215,1212158696,515025,en,6,1.5
316777136345,20251230,1215,557147229,515025,en,6,1.5
315855242214,20251230,1215,544906139,515025,de,6,1.5
316201188183,20251230,1215,710441527,515025,en,6,1.5
315623498727,20251230,1215,655090455,26936,en,6,1.5
315860417510,20251230,1215,1232251302,26936,nl,6,1.5
315548299108,20251230,1215,235518502,26936,en,6,1.5
315018444373,20251230,1215,578975765,26936,en,6,1.5
315547272292,20251230,1215,88450255,515025,en,6,1.5
315622955111,20251230,1215,454850930,515025,de,6,1.5
315516759650,20251230,1215,438628331,515025,en,6,1.5
315565948259,20251230,1215,675401599,515025,fr,5,1.25
316779943129,20251230,1215,263982794,515025,en,5,1.25
316959817947,20251230,1215,126901260,515025,en,5,1.25
315566613859,20251230,1215,88906914,515025,en,5,1.25
315129124075,20251230,1215,1403635977,515025,ar,5,1.25
315547313508,20251230,1215,1414299970,515025,en,5,1.25
315515392866,20251230,1215,57485165,515025,en,5,1.25
315566510051,20251230,1215,141595210,515025,fr,4,1.0
316200090199,20251230,1215,246357743,515025,en,4,1.0
315046699094,20251230,1215,1088061316,515025,ru,4,1.0
316783505014,20251230,1215,70831087,515025,es,4,1.0
316553315038,20251230,1215,487874806,515025,es,3,0.75
315548016996,20251230,1215,148028220,515025,es,8,2.0
315278190961,20251230,1215,773164816,515025,ja,8,2.0
315516044514,20251230,1215,199549165,515025,en,7,1.75
315278716785,20251230,1215,953786961,515025,ja,6,1.5
316959277403,20251230,1215,216734240,515025,de,6,1.5
315566069347,20251230,1215,575464425,26936,nl,6,1.5
316553601502,20251230,1215,651768717,515025,en,6,1.5
315145268716,20251230,1215,682738471,515025,en,6,1.5
315064913108,20251230,1215,1068382298,515025,ru,6,1.5
316960232283,20251230,1215,798788960,515025,en,6,1.5
316958707035,20251230,1215,1093797665,515025,en,6,1.5
315170758634,20251230,1215,134719457,515025,zh,6,1.5
316552822494,20251230,1215,630043245,515025,en,6,1.5
315286291442,20251230,1215,638567124,515025,ja,6,1.5
315779484901,20251230,1215,549650087,26936,de,6,1.5
